"ID";"Track";"StartTime";"Length";"PlayRate";"Locked";"Normalized";"StretchMethod";"Looped";"OnRuler";"MediaType";"FileName";"Stream";"StreamStart";"StreamLength";"FadeTimeIn";"FadeTimeOut";"SustainGain";"CurveIn";"GainIn";"CurveOut";"GainOut";"Layer";"Color";"CurveInR";"CurveOutR";"PlayPitch";"LockPitch";"FirstChannel";"Channels"
1; 1; 0.0000; 1884591.0417; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "E:\DVD\!convert\!done\House.S05E16.HDTV.XviD-LOL.TINY.avi"; 0; 0.0000; 1884591.0417; 0.0000; 0.0000; 1.000000; 4; 0.000000; 4; 0.000000; 0; -1; 4; 4; 0.000000; FALSE; 0; 0
2; 1; 1884632.7500; 1209.5417; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "E:\DVD\!convert\!done\House.S05E16.HDTV.XviD-LOL.TINY.avi"; 0; 1884591.0417; 1209.5417; 0.0000; 0.0000; 1.000000; 4; 0.000000; 4; 0.000000; 0; -1; 4; 4; 0.000000; FALSE; 0; 0
3; 1; 1885884.0000; 500.5000; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "E:\DVD\!convert\!done\House.S05E16.HDTV.XviD-LOL.TINY.avi"; 0; 1885800.5834; 500.5000; 0.0000; 0.0000; 1.000000; 4; 0.000000; 4; 0.000000; 0; -1; 4; 4; 0.000000; FALSE; 0; 0
4; 1; 1886426.2083; 702201.4999; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "E:\DVD\!convert\!done\House.S05E16.HDTV.XviD-LOL.TINY.avi"; 0; 1886301.0834; 702201.4999; 0.0000; 0.0000; 1.000000; 4; 0.000000; 4; 0.000000; 0; -1; 4; 4; 0.000000; FALSE; 0; 0
5; 2; 875.8750; 535743.5417; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "E:\DVD\!convert\!done\house.s05e16.720p.hdtv.x264-ctu.TINY.avi"; 0; 0.0000; 535743.5417; 0.0000; 0.0000; 1.000000; 4; 0.000000; 4; 0.000000; 0; -1; 4; 4; 0.000000; FALSE; 0; 0
6; 2; 538538.0000; 379337.2917; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "E:\DVD\!convert\!done\house.s05e16.720p.hdtv.x264-ctu.TINY.avi"; 0; 535743.5417; 379337.2917; 0.0000; 0.0000; 1.000000; 4; 0.000000; 4; 0.000000; 0; -1; 4; 4; 0.000000; FALSE; 0; 0
7; 2; 917917.0000; 41.7083; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "E:\DVD\!convert\!done\house.s05e16.720p.hdtv.x264-ctu.TINY.avi"; 0; 915080.8334; 41.7083; 0.0000; 0.0000; 1.000000; 4; 0.000000; 4; 0.000000; 0; -1; 4; 4; 0.000000; FALSE; 0; 0
8; 2; 919877.2917; 598055.7916; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "E:\DVD\!convert\!done\house.s05e16.720p.hdtv.x264-ctu.TINY.avi"; 0; 915122.5417; 598055.7916; 0.0000; 0.0000; 1.000000; 4; 0.000000; 4; 0.000000; 0; -1; 4; 4; 0.000000; FALSE; 0; 0
9; 2; 1520352.1667; 358524.8333; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "E:\DVD\!convert\!done\house.s05e16.720p.hdtv.x264-ctu.TINY.avi"; 0; 1513178.3333; 358524.8333; 0.0000; 0.0000; 1.000000; 4; 0.000000; 4; 0.000000; 0; -1; 4; 4; 0.000000; FALSE; 0; 0
10; 2; 1880420.2083; 4504.5000; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "E:\DVD\!convert\!done\house.s05e16.720p.hdtv.x264-ctu.TINY.avi"; 0; 1871703.1666; 4504.5000; 0.0000; 0.0000; 1.000000; 4; 0.000000; 4; 0.000000; 0; -1; 4; 4; 0.000000; FALSE; 0; 0
11; 2; 1884966.4167; 1001.0000; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "E:\DVD\!convert\!done\house.s05e16.720p.hdtv.x264-ctu.TINY.avi"; 0; 1876207.6666; 700116.0834; 0.0000; 0.0000; 1.000000; 4; 0.000000; 4; 0.000000; 0; -1; 4; 4; 0.000000; FALSE; 0; 0
12; 2; 1886009.1250; 458.7917; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "E:\DVD\!convert\!done\house.s05e16.720p.hdtv.x264-ctu.TINY.avi"; 0; 1877208.6666; 458.7917; 0.0000; 0.0000; 1.000000; 4; 0.000000; 4; 0.000000; 0; -1; 4; 4; 0.000000; FALSE; 0; 0
13; 2; 1886509.6250; 266766.4999; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "E:\DVD\!convert\!done\house.s05e16.720p.hdtv.x264-ctu.TINY.avi"; 0; 1877667.4583; 698656.2917; 0.0000; 0.0000; 1.000000; 4; 0.000000; 4; 0.000000; 0; -1; 4; 4; 0.000000; FALSE; 0; 0
14; 2; 2155486.6667; 431889.7918; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "E:\DVD\!convert\!done\house.s05e16.720p.hdtv.x264-ctu.TINY.avi"; 0; 2144433.9582; 431889.7918; 0.0000; 0.0000; 1.000000; 4; 0.000000; 4; 0.000000; 0; -1; 4; 4; 0.000000; FALSE; 0; 0
